country,ratio,total
AFG,0.0,2
ALB,0.0,0
ALG,0.2727272727272727,11
AND,0.0,0
ANG,0.0,0
ANT,0.0,0
ARG,0.4230769230769231,26
ARM,0.0,9
ARU,0.0,0
ASA,0.0,0
AUS,0.5596330275229358,218
AUT,0.4532710280373832,214
AZE,0.38461538461538464,26
BAH,0.5384615384615384,13
BAN,0.0,0
BAR,0.0,3
BDI,0.5,2
BEL,0.5,40
BEN,0.0,0
BER,1.0,1
BHU,0.0,0
BIH,0.0,0
BIZ,0.0,0
BLR,0.5522388059701493,67
BOL,0.0,0
BOT,0.0,2
BRA,0.42105263157894735,76
BRN,1.0,4
BRU,0.0,0
BUL,0.746268656716418,67
BUR,0.0,1
CAF,0.0,0
CAM,0.0,0
CAN,0.5454545454545454,352
CAY,0.0,0
CGO,0.0,0
CHA,0.0,0
CHI,0.16666666666666666,6
CHN,0.6153846153846154,533
CIV,0.5,4
CMR,0.75,4
COD,0.0,0
COK,0.0,0
COL,0.6071428571428571,28
COM,0.0,0
CPV,0.0,0
CRC,0.0,0
CRO,0.3125,48
CUB,0.47619047619047616,105
CYP,0.0,1
CZE,0.5333333333333333,75
DEN,0.5636363636363636,55
DJI,0.0,1
DMA,0.0,0
DOM,0.25,8
ECU,0.5,4
EGY,0.4117647058823529,17
ERI,0.0,1
ESA,0.0,0
ESP,0.3870967741935484,124
EST,0.3684210526315789,19
ETH,0.5531914893617021,47
FIJ,0.3333333333333333,3
FIN,0.40816326530612246,147
FRA,0.41081081081081083,370
FSM,0.0,0
GAB,0.0,1
GAM,0.0,0
GBR,0.47164948453608246,388
GBS,0.0,0
GEO,0.0,20
GEQ,0.0,0
GER,0.5838150289017341,519
GHA,0.0,1
GRE,0.425,40
GRN,0.0,3
GUA,0.0,1
GUI,0.0,0
GUM,0.0,0
GUY,0.0,0
HAI,0.0,0
HKG,0.7142857142857143,7
HON,0.0,0
HUN,0.5741935483870968,155
INA,0.4,35
IND,0.5714285714285714,14
IRI,0.041666666666666664,24
IRL,0.5,10
IRQ,0.0,0
ISL,0.5,2
ISR,0.21428571428571427,14
ISV,0.0,0
ITA,0.41641337386018235,329
IVB,0.0,0
JAM,0.5494505494505495,91
JOR,0.0,2
JPN,0.3778409090909091,352
KAZ,0.5121951219512195,41
KEN,0.35802469135802467,81
KGZ,0.5,4
KIR,0.0,0
KOR,0.45387453874538747,271
KOS,1.0,3
KSA,0.0,1
KUW,0.0,0
LAO,0.0,0
LAT,0.05263157894736842,19
LBA,0.0,0
LBN,0.0,0
LBR,0.0,0
LCA,0.0,0
LES,0.0,0
LIE,0.6,10
LTU,0.4,20
LUX,0.0,2
MAD,0.0,0
MAR,0.23529411764705882,17
MAS,0.16666666666666666,12
MAW,0.0,0
MDA,0.0,0
MDV,0.0,0
MEX,0.4864864864864865,37
MGL,0.3076923076923077,13
MHL,0.0,0
MKD,0.0,1
MLI,0.0,0
MLT,0.0,0
MNE,1.0,1
MON,0.0,0
MOZ,1.0,2
MRI,0.0,0
MTN,0.0,0
MYA,0.0,0
NAM,0.08333333333333333,12
NCA,0.0,0
NED,0.5940959409594095,271
NEP,0.0,0
NGR,0.5714285714285714,21
NIG,0.0,1
NOR,0.3103448275862069,319
NRU,0.0,0
NZL,0.47191011235955055,89
OMA,0.0,0
PAK,0.0,2
PAN,0.0,4
PAR,0.0,1
PER,0.0,0
PHI,0.5,6
PLE,0.0,0
PLW,0.0,0
PNG,0.0,0
POL,0.5691056910569106,123
POR,0.3888888888888889,18
PRK,0.7857142857142857,28
PUR,0.6666666666666666,3
QAT,0.0,6
ROU,0.8596491228070176,171
RSA,0.39285714285714285,28
RUS,0.5307262569832403,358
RWA,0.0,0
SAM,1.0,1
SEN,0.0,1
SEY,0.0,0
SGP,1.0,3
SKN,0.0,0
SLE,0.0,0
SLO,0.5121951219512195,41
SMR,0.0,1
SOL,0.0,0
SOM,0.0,0
SRB,0.5,14
SRI,1.0,1
SSD,0.0,0
STP,0.0,0
SUD,0.0,1
SUI,0.4502923976608187,171
SUR,0.0,0
SVK,0.6,15
SWE,0.4392523364485981,214
SWZ,0.0,0
SYR,0.5,2
TAN,0.0,0
TGA,0.0,0
THA,0.9047619047619048,21
TJK,0.3333333333333333,3
TKM,1.0,1
TLS,0.0,0
TOG,0.0,1
TPE,0.6774193548387096,31
TTO,0.0,23
TUN,0.5,6
TUR,0.36666666666666664,30
TUV,0.0,0
UAE,0.0,1
UGA,0.16666666666666666,6
UKR,0.6444444444444445,90
URS,0.5652173913043478,529
URU,0.0,1
USA,0.47333333333333333,1200
UZB,0.09523809523809523,21
VAN,0.0,0
VEN,0.5,10
VIE,0.3333333333333333,3
VIN,0.0,0
YEM,0.0,0
YUG,0.3333333333333333,18
ZAM,0.0,1
ZIM,1.0,1
