country,ratio,total
AFG,0.0,0
ALB,0.0,0
ALG,0.0,0
AND,0.0,0
ANG,0.0,0
ANT,0.0,0
ARG,0.0,0
ARM,0.0,0
ARU,0.0,0
ASA,0.0,0
AUS,0.5555555555555556,18
AUT,0.4148936170212766,188
AZE,0.0,0
BAH,0.0,0
BAN,0.0,0
BAR,0.0,0
BDI,0.0,0
BEL,0.2,5
BEN,0.0,0
BER,0.0,0
BHU,0.0,0
BIH,0.0,0
BIZ,0.0,0
BLR,0.6470588235294118,17
BOL,0.0,0
BOT,0.0,0
BRA,0.0,0
BRN,0.0,0
BRU,0.0,0
BUL,1.0,5
BUR,0.0,0
CAF,0.0,0
CAM,0.0,0
CAN,0.5376344086021505,186
CAY,0.0,0
CGO,0.0,0
CHA,0.0,0
CHI,0.0,0
CHN,0.6338028169014085,71
CIV,0.0,0
CMR,0.0,0
COD,0.0,0
COK,0.0,0
COL,0.0,0
COM,0.0,0
CPV,0.0,0
CRC,0.0,0
CRO,0.4,15
CUB,0.0,0
CYP,0.0,0
CZE,0.6388888888888888,36
DEN,1.0,1
DJI,0.0,0
DMA,0.0,0
DOM,0.0,0
ECU,0.0,0
EGY,0.0,0
ERI,0.0,0
ESA,0.0,0
ESP,0.4,5
EST,0.6666666666666666,6
ETH,0.0,0
FIJ,0.0,0
FIN,0.5050505050505051,99
FRA,0.4051724137931034,116
FSM,0.0,0
GAB,0.0,0
GAM,0.0,0
GBR,0.6521739130434783,23
GBS,0.0,0
GEO,0.0,0
GEQ,0.0,0
GER,0.676056338028169,213
GHA,0.0,0
GRE,0.0,0
GRN,0.0,0
GUA,0.0,0
GUI,0.0,0
GUM,0.0,0
GUY,0.0,0
HAI,0.0,0
HKG,0.0,0
HON,0.0,0
HUN,0.0,3
INA,0.0,0
IND,0.0,0
IRI,0.0,0
IRL,0.0,0
IRQ,0.0,0
ISL,0.0,0
ISR,0.0,0
ISV,0.0,0
ITA,0.47368421052631576,114
IVB,0.0,0
JAM,0.0,0
JOR,0.0,0
JPN,0.38571428571428573,70
KAZ,0.375,8
KEN,0.0,0
KGZ,0.0,0
KIR,0.0,0
KOR,0.4117647058823529,85
KOS,0.0,0
KSA,0.0,0
KUW,0.0,0
LAO,0.0,0
LAT,0.0,5
LBA,0.0,0
LBN,0.0,0
LBR,0.0,0
LCA,0.0,0
LES,0.0,0
LIE,0.6,10
LTU,0.0,0
LUX,0.0,2
MAD,0.0,0
MAR,0.0,0
MAS,0.0,0
MAW,0.0,0
MDA,0.0,0
MDV,0.0,0
MEX,0.0,0
MGL,0.0,0
MHL,0.0,0
MKD,0.0,0
MLI,0.0,0
MLT,0.0,0
MNE,0.0,0
MON,0.0,0
MOZ,0.0,0
MRI,0.0,0
MTN,0.0,0
MYA,0.0,0
NAM,0.0,0
NCA,0.0,0
NED,0.5289256198347108,121
NEP,0.0,0
NGR,0.0,0
NIG,0.0,0
NOR,0.29699248120300753,266
NRU,0.0,0
NZL,0.6666666666666666,6
OMA,0.0,0
PAK,0.0,0
PAN,0.0,0
PAR,0.0,0
PER,0.0,0
PHI,0.0,0
PLE,0.0,0
PLW,0.0,0
PNG,0.0,0
POL,0.75,12
POR,0.0,0
PRK,1.0,2
PUR,0.0,0
QAT,0.0,0
ROU,0.0,0
RSA,0.0,0
RUS,0.48,100
RWA,0.0,0
SAM,0.0,0
SEN,0.0,0
SEY,0.0,0
SGP,0.0,0
SKN,0.0,0
SLE,0.0,0
SLO,0.631578947368421,19
SMR,0.0,0
SOL,0.0,0
SOM,0.0,0
SRB,0.0,0
SRI,0.0,0
SSD,0.0,0
STP,0.0,0
SUD,0.0,0
SUI,0.4666666666666667,120
SUR,0.0,0
SVK,0.7777777777777778,9
SWE,0.4496124031007752,129
SWZ,0.0,0
SYR,0.0,0
TAN,0.0,0
TGA,0.0,0
THA,0.0,0
TJK,0.0,0
TKM,0.0,0
TLS,0.0,0
TOG,0.0,0
TPE,0.0,0
TTO,0.0,0
TUN,0.0,0
TUR,0.0,0
TUV,0.0,0
UAE,0.0,0
UGA,0.0,0
UKR,0.75,8
URS,0.5426356589147286,129
URU,0.0,0
USA,0.5280898876404494,267
UZB,1.0,1
VAN,0.0,0
VEN,0.0,0
VIE,0.0,0
VIN,0.0,0
YEM,0.0,0
YUG,0.5,2
ZAM,0.0,0
ZIM,0.0,0
