country,ratio,total
AFG,0.0,0
ALB,0.0,0
DZA,0.0,0
AND,0.0,0
AGO,0.0,0
ATG,0.0,0
ARG,0.0,0
ARM,0.0,0
ABW,0.0,0
ASM,0.0,0
AUS,0.5555555555555556,18
AUT,0.4148936170212766,188
AZE,0.0,0
BHS,0.0,0
BGD,0.0,0
BRB,0.0,0
BDI,0.0,0
BEL,0.2,5
BEN,0.0,0
BMU,0.0,0
BTN,0.0,0
BIH,0.0,0
BLZ,0.0,0
BLR,0.6470588235294118,17
BOL,0.0,0
BWA,0.0,0
BRA,0.0,0
BRN,0.0,0
BRU,0.0,0
BGR,1.0,5
BFA,0.0,0
CAF,0.0,0
KHM,0.0,0
CAN,0.5376344086021505,186
CYM,0.0,0
COG,0.0,0
TCD,0.0,0
CHL,0.0,0
CHN,0.6338028169014085,71
CIV,0.0,0
CMR,0.0,0
COD,0.0,0
COK,0.0,0
COL,0.0,0
COM,0.0,0
CPV,0.0,0
CRI,0.0,0
HRV,0.4,15
CUB,0.0,0
CYP,0.0,0
CZE,0.6388888888888888,36
DNK,1.0,1
DJI,0.0,0
DMA,0.0,0
DOM,0.0,0
ECU,0.0,0
EGY,0.0,0
ERI,0.0,0
SLV,0.0,0
ESP,0.4,5
EST,0.6666666666666666,6
ETH,0.0,0
FJI,0.0,0
FIN,0.5050505050505051,99
FRA,0.4051724137931034,116
FSM,0.0,0
GAB,0.0,0
GMB,0.0,0
GBR,0.6521739130434783,23
GNB,0.0,0
GEO,0.0,0
,0.0,0
DEU,0.676056338028169,213
GHA,0.0,0
GRC,0.0,0
GRD,0.0,0
GTM,0.0,0
GIN,0.0,0
GUM,0.0,0
GUY,0.0,0
HTI,0.0,0
HKG,0.0,0
HND,0.0,0
HUN,0.0,3
IDN,0.0,0
IND,0.0,0
IRN,0.0,0
IRL,0.0,0
IRQ,0.0,0
ISL,0.0,0
ISR,0.0,0
VIR,0.0,0
ITA,0.47368421052631576,114
IVB,0.0,0
JAM,0.0,0
JOR,0.0,0
JPN,0.38571428571428573,70
KAZ,0.375,8
KEN,0.0,0
KGZ,0.0,0
KIR,0.0,0
KOR,0.4117647058823529,85
,0.0,0
SAU,0.0,0
KWT,0.0,0
LAO,0.0,0
LVA,0.0,5
LBY,0.0,0
,0.0,0
LBR,0.0,0
,0.0,0
LSO,0.0,0
LIE,0.6,10
LTU,0.0,0
LUX,0.0,2
MDG,0.0,0
MAR,0.0,0
MYS,0.0,0
MWI,0.0,0
MDA,0.0,0
MDV,0.0,0
MEX,0.0,0
MNG,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
MRT,0.0,0
MRT,0.0,0
MMR,0.0,0
NAM,0.0,0
NIC,0.0,0
NLD,0.5289256198347108,121
NPL,0.0,0
NGA,0.0,0
NER,0.0,0
NOR,0.29699248120300753,266
NRU,0.0,0
NZL,0.6666666666666666,6
OMN,0.0,0
PAK,0.0,0
PAN,0.0,0
PRY,0.0,0
PER,0.0,0
PHL,0.0,0
PSE,0.0,0
PLW,0.0,0
PNG,0.0,0
POL,0.75,12
PRT,0.0,0
PRK,1.0,2
PUR,0.0,0
QAT,0.0,0
ROU,0.0,0
ZAF,0.0,0
RUS,0.48,100
RWA,0.0,0
WSM,0.0,0
SEN,0.0,0
,0.0,0
SGP,0.0,0
KNA,0.0,0
SLE,0.0,0
SVN,0.631578947368421,19
SMR,0.0,0
SLB,0.0,0
SOM,0.0,0
SRB,0.0,0
LKA,0.0,0
SSD,0.0,0
STP,0.0,0
SDN,0.0,0
CHE,0.4666666666666667,120
SUR,0.0,0
SVK,0.7777777777777778,9
SWE,0.4496124031007752,129
SWZ,0.0,0
SYR,0.0,0
TZA,0.0,0
TON,0.0,0
THA,0.0,0
TJK,0.0,0
TKM,0.0,0
TLS,0.0,0
TGO,0.0,0
TPE,0.0,0
TTO,0.0,0
TUN,0.0,0
TUR,0.0,0
,0.0,0
ARE,0.0,0
UGA,0.0,0
UKR,0.75,8
,0.5426356589147286,129
URY,0.0,0
USA,0.5280898876404494,267
UZB,1.0,1
VUT,0.0,0
VEN,0.0,0
VNM,0.0,0
VCT,0.0,0
YEM,0.0,0
,0.5,2
ZMB,0.0,0
ZWE,0.0,0
